Region_of_Origin,District_of_Origin,County_of_Origin,Period,GenderDescription,AgeClassDescription,Average_BusUsers_per_Day,Average Temp
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Female,15-24,294.194206,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Female,25-34,1081.652817,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Female,35-44,235.836653,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Female,45-54,840.951323,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Female,55-64,1216.148092,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Male,15-24,1148.427051,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Male,25-34,421.94018,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Male,35-44,137.697607,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Male,45-54,617.693161,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Male,55-64,867.481913,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Male,65+,1612.851365,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Female,15-24,745.379537,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Female,25-34,919.144204,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Female,35-44,816.414391,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Female,45-54,970.140963,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Female,55-64,756.408177,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Female,65+,2017.333975,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Male,15-24,4548.093582,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Male,25-34,298.292615,17.0
